id,Judul Berita,Isi Berita,Kategori Berita
1,"Belajar Cara Praktis Pembukuan Bisnis, Ikuti Workshop 2 Jam Jago Accurate Online",,Pendidikan
2,Infografis: Pro dan Kontra SPMB Perdana,,Pendidikan
3,Ilmuwan UI Soroti Tak Banyak Peneliti yang Studi tentang Layanan Disabilitas,,Pendidikan
4,"10 Twibbon Hari Batik Nasional 2025, Gratis dan Mudah Dipakai",,Pendidikan
5,"P2G: Bisa Beri Insentif untuk Guru PJ MBG, Kenapa Pemerintah Sulit Menggaji Honorer?",,Pendidikan
6,"Potret Festival Pengabdian Masyarakat UI 2025, Dihadiri Dubes Palestina",,Pendidikan
7,"Bersiap, Beasiswa Patriot Kementrans Bakal Buka Pendaftaran ke Universitas Jepang",,Pendidikan
8,"Guru Dijadikan Penanggung Jawab MBG, P2G: Patut Diduga BGN Coba Lepas Tangan",,Pendidikan
9,"96% Warga Palestina Berpendidikan, Dubes: Otak Jadi Senjata untuk Kalahkan Israel",,Pendidikan
10,"Sebagian Soal TKA SD-SMP Disusun Pemda, Kemendikdasmen: Konteks Lokal",,Pendidikan
11,"Dubes Palestina Ceritakan Sejarah Penjajahan Israel, Minta Rakyat Gaza Tak Lagi Dibunuh",,Pendidikan
12,"Apa Penyebab Gempa Bumi M 6,5 di Sumenep? Ini Penjelasan BMKG",,Pendidikan
13,"Uji Kesetaraan Dihapuskan, Penyetaraan Pakai Nilai TKA!",,Pendidikan
14,"Kisah Ela, Anak Petani Jombang yang Jadi Wisudawan Terbaik Unesa",,Pendidikan
15,"Mengenal Radioaktif Cesium-137 yang Ditemukan di Cikande, Seperti Apa Risikonya?",,Pendidikan
16,"Cucu Keracunan MBG, Mahfud MD: Program Mulia tapi Tata Kelola Harus Jelas",,Pendidikan
17,Dubes Palestina Tanggapi Pidato Presiden Prabowo di PBB: Sebuah Pesan Perdamaian,,Pendidikan
18,Video: Harvard-Donald Trump Capai Kesepakatan USD 500 Juta,,Pendidikan
19,"Kemendikdasmen Sebut TKA Juga Punya Manfaat untuk Guru-Sekolah, Apa Saja?",,Pendidikan
20,"Dosen UB Soroti Kasus Keracunan Massal MBG, Perlukah Diberhentikan?",,Pendidikan
21,"BMKG Ungkap Kapan Puncak Musim Hujan di Indonesia, Cek Tempat Tinggalmu!",,Pendidikan
22,"Beasiswa BPP S3 Dalam Negeri 2025 untuk Dosen-Guru Dibuka, Total Rp 30 Juta",,Pendidikan
23,Teks Ikrar Hari Kesaktian Pancasila dari Kemenbud untuk Dibaca 1 Oktober 2025,,Pendidikan
24,"Sekolah Haruskan Murid Ikut TKA, Komisi X DPR: Wajibin Aja Kalau Berjalan Baik",,Pendidikan
25,"Siswa Keluhkan Mapel Pilihan TKA Dipilihkan Sekolah, Kemendikdasmen Jawab Begini",,Pendidikan
26,"Info GTK 2025: Cara Login, Cek Data, dan Panduan Lengkap",,Pendidikan
27,Komisi X DPR: Naskah Akademik Revisi UU Sisdiknas Hoaks,,Pendidikan
28,Hari Batik Nasional Tanggal Berapa? Ini Jadwal dan Tema Tahun Ini,,Pendidikan
29,"Siap-siap, Pemerintah Mulai Program Magang Nasional 15 Oktober!",,Pendidikan
30,"20 Contoh Soal TKA SMA Mapel Bahasa Indonesia Tingkat Lanjut, Cek Kisi-kisinya!",,Pendidikan
31,Belajar Benda Langit Lewat Pekan Astronomi di Planetarium,,Pendidikan
32,Kalender Oktober 2025: Cek Daftar Libur dan Hari Besar Nasional-Internasional!,,Pendidikan
33,Nilai TKA Jadi Syarat Seleksi Sekolah Kedinasan? Begini Penjelasan Kemendikdasmen,,Pendidikan
34,Video: AIPKI Menampik Ada 'Permainan' di Uji Kompetensi Dokter,,Pendidikan
35,"Cara Daftar Beasiswa Pemerintah Rusia 2026-2027, Cek Panduannya!",,Pendidikan
36,Video Pengamat Nilai Negara Mampu Biayai Sekolah Negeri-Swasta,,Pendidikan
37,Video Guru Madrasah Swasta Protes Gak Bisa Ikut PPPK: Sangat Diskriminatif!,,Pendidikan
38,Video: DPR Curiga Ada 'Permainan' di Uji Kompetensi Mahasiswa Kedokteran,,Pendidikan
39,Video: DPR Soroti Penguatan Regulasi Pendidikan di Bawah Kemenag,,Pendidikan
40,Pemerintah Rusia Buka Kesempatan Beasiswa untuk Mahasiswa Indonesia,,Pendidikan
41,"Rp 100 Ribu buat Guru Penanggung Jawab MBG, JPPI: Penawar Pahit Minim Dosis",,Pendidikan
42,Survei: Hanya 13 Persen Orang Tua Tahu TKA Bukan Syarat Lanjut Studi,,Pendidikan
43,"Sederet Kritik Publik pada SPMB Perdana, Daya Tampung Kurang-Untungkan Siswa Tertentu",,Pendidikan
44,"Sosok Ida Loemongga, Perempuan Indonesia Pertama yang Bergelar Doktor",,Pendidikan
45,Survei: 88% Orang Tua Murid Anggap Sistem SPMB Lebih Baik dari PPDB Sebelumnya,,Pendidikan
46,"Teliti Temu Kunci, Hermawan Raih Doktor di UB dengan IPK 4,00",,Pendidikan
47,Program Master of Applied Finance SMU Raih Peringkat 1 di Singapura,,Pendidikan
48,Presiden SMU Raih Penghargaan Sustainability Impact Awards 2025,,Pendidikan
49,"20 Contoh Soal dan Jawaban TKA SMA Bahasa Inggris Wajib, Let's Practice!",,Pendidikan
50,"Berkunjung ke Museum A.H. Nasution, Saksi Bisu Tragedi G30S/PKI",,Pendidikan
51,Apakah Hari Kesaktian Pancasila 1 Oktober Ada Libur? Ini Jawabannya,,Pendidikan
52,Keren! Guru Pontianak Ini Pakai AI Ajarkan Bahasa Inggris-Raih Penghargaan UNESCO,,Pendidikan
53,"Prospek Cerah, CMK Ajak Mahasiswa Intip Peluang di Industri Perhiasan",,Pendidikan
54,"Komputer Sekolah Tak Memadai, Bagaimana Melaksanakan TKA?",,Pendidikan
55,Pengumuman Akhir OMI Riset 2025 Bisa Dicek Kapan? Ini Jadwalnya,,Pendidikan
56,Mendikdasmen Ajak Pelajar Samarinda Terapkan Tujuh Kebiasaan Sehat Lewat Senam,,Pendidikan
57,"Link Simulasi TKA 2025, Siswa SMA hingga SMK Wajib Coba!",,Pendidikan
58,15 Contoh Soal Plus Jawaban dan Pembahasan TKA SMA 2025 Matematika Wajib,,Pendidikan
59,"Mapel Pilihan TKA Harus Ada di Rapor, Minimal Berapa Semester?",,Pendidikan
60,"Ada Lowongan Kerja PLN Group 2025, Terbuka untuk Lulusan D3-S1",,Pendidikan
61,"Prediksi Cuaca Berbagai Daerah Sepekan ke Depan, Waspada Hujan-Petir!",,Pendidikan
62,"Peringatan-peringatan pada 30 September, Tak Hanya tentang G30S PKI",,Pendidikan
63,"BCA Buka Lowongan Kerja untuk Lulusan Ini, Apa Saja Syaratnya?",,Pendidikan
64,Mengapa Harus Pasang Bendera Setengah Tiang Tiap 30 September? Ini Alasannya,,Pendidikan
65,"Kiat Memilih Mapel Pilihan TKA, Masih Bisa Diganti Sebelum 5 Oktober!",,Pendidikan
66,Nama-nama Pahlawan yang Gugur dalam G30S PKI dan Bagaimana Penangkapannya,,Pendidikan
67,"Disentil Prabowo, Ini Daftar Menteri Kabinet Merah Putih Lulusan S3 atau Doktor",,Pendidikan
68,Dosen Unpad: Dosen Bisa Tahu Mana Tugas Hasil AI dan Bukan,,Pendidikan
69,"Mega Proyek Perikanan Rp 72 T, Pakar UGM Sorot Tantangan Ini",,Pendidikan
70,"Korban G30S PKI: 6 Jenderal, 1 Perwira, Gerwani, hingga Etnis Tionghoa",,Pendidikan
71,"10 Provinsi dengan Persentase Pendaftar TKA Terendah SMA-SMK, Masih Ada Waktu!",,Pendidikan
72,Hari Kesaktian Pancasila 1 Oktober Apakah Libur? Anak Sekolah Cek Dulu!,,Pendidikan
73,"Nilai-Nilai Pancasila: Pengertian, Jenis, dan Contoh yang Mudah Dipahami",,Pendidikan
74,"Menteri Bergelar Doktor Kena Sentil, Prabowo: Kelewatan Kalau Tak Bisa Perbaiki Sistem",,Pendidikan
75,"Video: Kemendikdasmen Bikin Program Instruktur Naik Kelas, Apa Itu?",,Pendidikan
76,Video Alasan Guru Pandeglang Karaoke di Sekolah: Coba TV Bantuan Pemerintah,,Pendidikan
